City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Komsomolskiy,UZ,2020-07-06 19:46:58,40.43,71.72,73.4,35,0,6.93
121,Shingu,JP,2020-07-06 19:46:58,33.73,135.98,74.64,94,100,8.08
122,Tulum,MX,2020-07-06 19:46:59,20.22,-87.47,90.0,66,40,10.29
123,Thinadhoo,MV,2020-07-06 19:46:59,0.53,72.93,83.98,80,28,18.34
124,Kapaa,US,2020-07-06 19:46:59,22.08,-159.32,82.4,69,75,10.29
125,Port Hedland,AU,2020-07-06 19:42:38,-20.32,118.57,57.2,41,0,5.82
126,Vila Velha,BR,2020-07-06 19:46:38,-20.33,-40.29,77.0,73,0,12.75
127,Arraial Do Cabo,BR,2020-07-06 19:44:14,-22.97,-42.03,84.2,48,0,5.82
128,Bathsheba,BB,2020-07-06 19:47:00,13.22,-59.52,78.8,83,75,20.8
129,Waingapu,ID,2020-07-06 19:47:00,-9.66,120.26,74.08,85,43,10.25
130,Paamiut,GL,2020-07-06 19:47:00,61.99,-49.67,41.23,93,100,20.6
131,Mayo,US,2020-07-06 19:47:00,38.89,-76.51,93.2,70,1,10.29
132,Davila,PH,2020-07-06 19:47:00,18.47,120.58,81.55,77,100,3.67
133,Ouadda,CF,2020-07-06 19:47:01,8.08,22.4,68.67,94,100,1.19
134,Souillac,MU,2020-07-06 19:47:01,-20.52,57.52,73.4,94,75,4.7
135,Victoria,HK,2020-07-06 19:47:01,22.29,114.16,86.0,70,100,8.01
136,Nishihara,JP,2020-07-06 19:47:01,26.18,127.76,82.4,88,20,10.29
137,Faanui,PF,2020-07-06 19:42:06,-16.48,-151.75,79.03,80,45,14.23
138,Harbin,CN,2020-07-06 19:42:05,45.75,126.65,64.4,100,75,6.71
139,Manado,ID,2020-07-06 19:45:43,1.49,124.85,73.4,94,20,4.83
140,Brownsville,US,2020-07-06 19:47:02,25.9,-97.5,95.0,52,20,16.11
141,Manggar,ID,2020-07-06 19:47:02,-2.88,108.27,81.84,82,86,16.4
142,Kruisfontein,ZA,2020-07-06 19:47:02,-34.0,24.73,55.36,78,0,14.97
143,Lasa,IT,2020-07-06 19:47:02,46.62,10.7,62.6,59,75,12.75
144,Karratha,AU,2020-07-06 19:47:03,-20.74,116.85,65.37,50,0,9.08
145,Charters Towers,AU,2020-07-06 19:47:03,-20.1,146.27,52.81,93,0,6.82
146,Asyut,EG,2020-07-06 19:47:03,27.18,31.18,91.4,26,0,11.41
147,Kirovskiy,RU,2020-07-06 19:47:03,45.09,133.51,58.57,93,43,5.46
148,Cabedelo,BR,2020-07-06 19:47:03,-6.98,-34.83,80.6,74,75,13.87
149,Yashkul,RU,2020-07-06 19:47:03,46.17,45.34,83.75,27,0,10.56
150,Marawi,PH,2020-07-06 19:42:30,8.0,124.29,75.0,89,88,5.99
151,Port Elizabeth,ZA,2020-07-06 19:47:04,-33.92,25.57,60.8,51,0,11.41
152,Kachiry,KZ,2020-07-06 19:47:04,53.07,76.1,62.02,72,79,5.39
153,Longyearbyen,SJ,2020-07-06 19:47:04,78.22,15.64,51.8,66,75,11.41
154,Dikson,RU,2020-07-06 19:47:04,73.51,80.55,50.29,67,1,15.55
155,Erzin,TR,2020-07-06 19:47:04,36.96,36.2,80.01,84,26,1.99
156,Inuvik,CA,2020-07-06 19:47:05,68.35,-133.72,44.6,93,90,5.82
157,Zhicheng,CN,2020-07-06 19:47:05,30.3,111.5,75.99,95,100,5.14
158,Nuuk,GL,2020-07-06 19:42:08,64.18,-51.72,46.4,81,90,33.33
159,Xilitla,MX,2020-07-06 19:47:05,21.33,-98.97,87.71,60,96,5.79
160,Abu Samrah,SY,2020-07-06 19:47:05,35.3,37.18,77.99,53,13,8.99
161,Banepa,NP,2020-07-06 19:47:05,27.63,85.52,67.66,93,100,2.01
162,Ostrovnoy,RU,2020-07-06 19:47:06,68.05,39.51,51.69,82,81,11.97
163,Solnechnyy,RU,2020-07-06 19:42:19,50.72,136.63,53.76,94,100,4.99
164,Camacha,PT,2020-07-06 19:47:06,33.08,-16.33,71.6,78,40,13.87
165,Rio Negro,BR,2020-07-06 19:47:06,-26.11,-49.8,52.0,94,93,1.99
166,Pandan,PH,2020-07-06 19:47:06,14.05,124.17,81.18,80,4,5.7
167,Alta Floresta,BR,2020-07-06 19:47:07,-9.88,-56.09,95.0,24,0,12.75
168,Nikolskoye,RU,2020-07-06 19:47:07,59.7,30.79,64.4,68,95,4.47
169,Baturaja,ID,2020-07-06 19:47:07,-4.13,104.17,72.43,95,29,2.57
170,Asau,RO,2020-07-06 19:47:07,46.43,26.4,66.99,76,79,3.71
171,Norman Wells,CA,2020-07-06 19:47:07,65.28,-126.83,50.0,87,90,11.41
172,Pisco,PE,2020-07-06 19:47:07,-13.7,-76.22,64.99,82,20,10.29
173,Morehead,US,2020-07-06 19:47:08,37.27,-87.18,87.8,69,1,2.17
174,Baisha,CN,2020-07-06 19:47:08,26.52,110.93,76.96,84,100,4.45
175,Aklavik,CA,2020-07-06 19:47:08,68.22,-135.01,46.4,81,90,8.05
176,Viedma,AR,2020-07-06 19:47:08,-40.81,-63.0,46.11,57,96,4.63
177,Teguldet,RU,2020-07-06 19:47:08,57.31,88.17,60.35,96,100,0.67
178,Kautokeino,NO,2020-07-06 19:47:08,69.01,23.04,53.24,64,99,8.16
179,Kosh-Agach,RU,2020-07-06 19:47:09,50.0,88.67,50.14,84,100,2.15
180,Suluq,LY,2020-07-06 19:47:09,31.67,20.25,73.11,83,0,8.46
181,San Cristobal,VE,2020-07-06 19:47:09,7.77,-72.22,84.2,54,75,16.11
182,Saint-Philippe,RE,2020-07-06 19:47:09,-21.36,55.77,73.4,94,75,13.87
183,Vila Do Maio,CV,2020-07-06 19:47:09,15.13,-23.22,78.8,74,40,12.75
184,Santa Maria,BR,2020-07-06 19:43:39,-29.68,-53.81,54.3,83,100,10.65
185,Ayamonte,ES,2020-07-06 19:47:10,37.21,-7.4,84.0,48,0,6.93
186,Machachi,EC,2020-07-06 19:47:10,-0.5,-78.57,68.0,71,90,8.05
